Проблема;Наименование мероприятий;Митигационный эффект;Адаптационный эффект;Наименование района;Агроклиматические условия района;Ответственная организация;Источник;;;;;;;;;;;;;;;;;;
городской остров тепла, нехватка воды и высокое энергопотребление;Комплекс «Открытые сады»: создание образцового экологического городского кластера с пассивными зданиями, геотермальной системой, фотоэлектрической станцией, зелёными крышами и замкнутым циклом водопользования для борьбы с тепловым островом, засухой и наводнениями;Снижение выбросов CO?, уменьшение потребления энергии и ресурсов;Стабилизация температуры в микроокружении, удержание дождевой воды, снижение эффекта городского острова тепла;Брно (Южноморавский край, Чехия);"Среднегодовая температура — около 9,7 °C. Сезонные средние: зима ? –1 °C, весна ? 10 °C, лето ? 20 °C, осень ? 11 °C. Безморозный период — около 160–180 дней. Годовое количество осадков ? 500–550 мм, максимум летом. Средняя влажность — 70–75 %. Засухи случаются чаще в последние годы. Возможны кратковременные ливни и волны жары. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 246 м. Климат — умеренно континентальный. Рядом протекает река Сврaтка и находится Брненское водохранилище; возможны локальные ливневые подтопления.";Чешский фонд экологического партнёрства, Skanska, муниципалитет Брно;https://www.adapterraawards.cz/en/databaze/2019/areal-otevrena-zahrada-v-brne;;;;;;;;;;;;;;;;;;
аномальная жара, засуха и высокое энергопотребление;Учебный центр «Академия Либхавы»: строительство комплекса из натуральных материалов с зелёными крышами и водоудерживающими решениями для обеспечения энергоэффективности, психического благополучия и устойчивости к аномальной жаре и засухе;Снижение энергопотребления и выбросов;Удержание воды, снижение перегрева, повышение устойчивости к засухам;Либхавы, Пардубицкий край (Чехия);"Среднегодовая температура — около 9 °C. Сезонные средние: зима ? –2 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — около 160–170 дней. Годовое количество осадков — около 600 мм, максимум в июне–июле. Средняя влажность — около 75 %. Возможны периоды засух и ливни. Почвы — суглинистые, с хорошим дренажем. Высота — около 330 м н.у.м. Климат — умеренно континентальный, переходный. Вблизи — небольшие реки и ручьи; риск затопления низкий.";Частная инициатива (семейное предприятие), при поддержке CzechInvest;https://www.adapterraawards.cz/en/databaze/2020/akademie-libchavy;;;;;;;;;;;;;;;;;;
эрозия почвы, наводнения, засуха и снижение биоразнообразия;Адаптация ландшафта деревни Воханчице: реализация комплекса противоэрозионных и водоудерживающих мер — насыпей, посадок деревьев и фруктовых садов — для снижения рисков наводнений, засухи и восстановления биоразнообразия;Поглощение углерода растительностью, снижение эмиссий при уменьшении эрозии;Снижение поверхностного стока, повышение влагоудержания, устойчивость к засухам и ливням;Воханчице, Южноморавский край (Чехия);"Среднегодовая температура — около 9 °C. Сезонные средние: зима ? –1 °C, лето ? 20 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 500 мм, максимум в летние месяцы. Возможны засухи и ливни. Почвы — суглинистые, на склонах подвержены эрозии. Высота — около 350 м н.у.м. Климат — умеренно континентальный. Вблизи — ручей Геролтицкий и винодельческие террасы; риск ливневых подтоплений.";Муниципалитет Воханчице, компания Agrostis Tr?vn?ky, местные жители;https://www.adapterraawards.cz/en/databaze/2022/adaptace-krajiny-obce-vohancice;;;;;;;;;;;;;;;;;;
высокое потребление воды и энергии, недостаток городской зелени;Офисный комплекс «Евроцентр»: внедрение экологичных решений — 100% использование дождевой воды, энергоэффективное остекление, велоинфраструктура и зелёная комната — для снижения потребления ресурсов и улучшения городского микроклимата;Снижение выбросов CO?, снижение потребления электроэнергии и воды;Удержание дождевой воды, уменьшение эффекта теплового острова, повышение комфорта в городе;Варшава (Мазовецкое воеводство, Польша);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –1 °C, весна ? 9 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 520 мм, максимум в июне–июле. Средняя влажность — 75 %. Возможны засухи и сильные дожди. Почвы — городские, антропогенные. Высота — около 100 м н.у.м. Климат — умеренно континентальный. Река Висла в пределах города; локальные риски подтоплений.";Девелопер комплекса, городская администрация Варшавы;https://www.adapterraawards.cz/en/databaze/2019/eurocentrum-office-complex;;;;;;;;;;;;;;;;;;
городской остров тепла, ливневые наводнения и нехватка зелёных зон;Зелёные автобусные остановки в Белостоке: интеграция растительных крыш и стен с системой сбора и удержания дождевой воды для снижения температуры, повышения влажности и адаптации к волнам жары, засухе и ливням;Снижение локальных выбросов и температуры, частичное улавливание CO?;Снижение температуры и повышение влажности, удержание осадков, уменьшение теплового острова;Белосток (Подляское воеводство, Польша);"Среднегодовая температура — около 7,5 °C. Сезонные средние: зима ? –4 °C, весна ? 8 °C, лето ? 18 °C, осень ? 9 °C. Безморозный период — около 150 дней. Годовое количество осадков — около 580 мм, максимум летом. Средняя влажность — 80 %. Возможны сильные ливни, ветра и волны жары. Почвы — суглинистые и глинистые. Высота — около 130 м н.у.м. Климат — умеренно континентальный. Вблизи — река Бяла; существует риск ливневых подтоплений.";Муниципалитет Белостока, подрядчики озеленения;https://www.adapterraawards.cz/en/databaze/2019/green-bus-stops;;;;;;;;;;;;;;;;;;
засуха, аномальная жара и высокое энергопотребление;Кампус ?SOB в Праге: создание устойчивого рабочего пространства с интенсивными зелёными крышами, геотермальной системой, сбором дождевой воды и естественной вентиляцией для снижения температуры и обеспечения энергонезависимости;Снижение выбросов CO? за счёт геотермального отопления и охлаждения, сокращение потребления энергии и питьевой воды;Снижение перегрева, повышение влажности, устойчивость к засухам и тепловым волнам, поддержание биоразнообразия;Прага (район Радлице, Чехия);"Среднегодовая температура — около 9,3 °C. Сезонные средние: зима ? –1 °C, весна ? 10 °C, лето ? 20 °C, осень ? 11 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 525 мм, максимум летом. Средняя влажность — 70–75 %. Возможны засухи, жара и ливни. Почвы — суглинистые, местами урбанизированные. Высота над уровнем моря — около 210 м. Климат — умеренно континентальный. Рядом протекает река Влтава; риск локальных подтоплений умеренный.";?SOB (?eskoslovensk? obchodn? banka), архитекторы и технический надзор;https://www.adapterraawards.cz/en/databaze/2020/csob-kampus;;;;;;;;;;;;;;;;;;
городской остров тепла, нехватка зелени и биоразнообразия;Дождевой сад у гериатрической клиники в Праге: преобразование «солнечной поляны» в инфильтрационный сад с водоудерживающей ямой и скамейками для охлаждения территории, повышения биоразнообразия и улучшения условий для пациентов;Снижение выбросов за счёт естественного водного цикла и отсутствия насосных систем;Снижение температуры, повышение влажности, удержание дождевой воды, улучшение биоразнообразия;Прага (Чехия);Среднегодовая температура — около 9 °C. Сезонные средние: зима ? –1 °C, лето ? 20 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 525 мм, максимум летом. Средняя влажность — 70–75 %. Возможны ливни и периоды засух. Почвы — суглинистые, с участками гравия. Высота — около 200 м. Климат — умеренно континентальный.;Гериатрическая клиника, волонтёры и персонал учреждения;https://www.adapterraawards.cz/en/databaze/2019/rain-garden-at-geriatrics;;;;;;;;;;;;;;;;;;
зависимость от коммунальных сетей, высокое потребление воды и энергии;Чешский автономный дом: строительство полностью off-grid жилья с фотоэлектрической системой, пеллетным котлом, биологической очисткой сточных вод и сбором дождевой воды для минимизации углеродного следа и демонстрации устойчивых технологий;Снижение выбросов CO? и энергонезависимость за счёт ВИЭ, уменьшение потребления воды;Повышение устойчивости к засухе и сбоям сетей, полное замыкание водного цикла, автономность;Крамолин у Липно-над-Влтавой (Южночешский край, Чехия);Среднегодовая температура — около 8 °C. Сезонные средние: зима ? –2 °C, лето ? 18 °C. Безморозный период — около 160 дней. Годовое количество осадков — около 700 мм, максимум летом. Средняя влажность — 75–80 %. Возможны затяжные дожди и засухи. Почвы — супесчаные, хорошо дренированные. Высота — около 740 м. Климат — умеренно континентальный с горными чертами.;Платформа «Чешский автономный дом», участники проекта и краудфандинговое сообщество;https://www.adapterraawards.cz/en/databaze/2022/cesky-sobestacny-dum;;;;;;;;;;;;;;;;;;
утрата исторической застройки, нехватка зелёных общественных пространств и воды;DADA Distrikt в Брно: реконструкция промышленного здания под жилой и офисный комплекс с полуинтенсивной зелёной крышей-садом, системой повторного использования серой воды и общественным пространством для снижения нагрузки на канализацию и укрепления сообщества;Снижение углеродного следа за счёт сохранения существующего здания, уменьшение строительных отходов и энергопотребления;Удержание осадков, повышение биоразнообразия, снижение эффекта теплового острова;Брно (район Зброёвка, Южноморавский край, Чехия);"Среднегодовая температура — около 9,7 °C. Сезонные средние: зима ? –1 °C, лето ? 20 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 510 мм. Средняя влажность — 70–75 %. Возможны засухи и ливни. Почвы — городские, уплотнённые. Высота — около 245 м. Климат — умеренно континентальный. Река Свртака — вблизи; риск локальных подтоплений.";Частные инвесторы, архитекторы проекта DADA Distrikt, жители-участники;https://www.adapterraawards.cz/en/databaze/2022/dada-distrikt;;;;;;;;;;;;;;;;;;
ливневые наводнения, аномальная жара и загрязнение окружающей среды;Образовательно-рекреационный центр MARKI в Польше: создание многофункционального комплекса с болотной крышей, газовой ТЭЦ и солнечными панелями для устойчивого управления дождевой водой, энергоснабжения и экологического просвещения;Снижение выбросов и энергопотребления за счёт ВИЭ и замены угля на газ;Снижение перегрева, повышение влажности, удержание воды, уменьшение риска ливневых затоплений;Марки (Мазовецкое воеводство, Польша);Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –1 °C, лето ? 20 °C. Безморозный период — около 170 дней. Годовое количество осадков — около 520 мм, максимум летом. Средняя влажность — 75 %. Возможны ливни и периоды жары. Почвы — суглинистые, частично заболоченные. Высота — около 110 м. Климат — умеренно континентальный. Вблизи — небольшие водоёмы, возможны локальные подтопления.;Город Марки, проектировщики и подрядчики комплекса;https://www.adapterraawards.cz/en/databaze/2019/marki-education-and-recreation-center;;;;;;;;;;;;;;;;;;
высокий уровень грунтовых вод, ливневые паводки и засуха;Дом воды и тонов в Йизерских горах: строительство энергоэффективного дома с природным бассейном, биофильтрацией сточных вод и водоёмами для удержания воды, снижения температуры и поддержки биоразнообразия в условиях засухи и жары;Снижение выбросов CO? за счёт энергоэффективности и использования возобновляемых материалов;Повышение устойчивости к засухам и ливням, удержание воды, создание микроклимата, поддержание биоразнообразия;Город Либерец (Либерецкий край, Чехия);Среднегодовая температура — около 7,5 °C. Сезонные средние: зима ? –2 °C, весна ? 7 °C, лето ? 16 °C, осень ? 8 °C. Безморозный период — около 130–150 дней. Годовое количество осадков — 800–1000 мм, максимум в июле–августе. Средняя влажность — 75–80 %. Возможны сильные ливни, короткие засушливые периоды, обильные снегопады. Почвы — суглинистые, местами переувлажнённые. Высота — около 600 м н.у.м. Климат — умеренно континентальный с горными чертами. Рядом протекают мелкие ручьи, возможны локальные подтопления.;Частная инициатива, программа «Новая зелёная энергия для экономии»;https://www.adapterraawards.cz/en/databaze/2020/dum-vody-a-tonu;;;;;;;;;;;;;;;;;;
затопление территорий и зависимость от ископаемого топлива;Ревитализация внутренней водной зоны в Ньяраде (Венгрия): создание трёх озёр, биосадов и плантации энергетической ивы для устранения угрозы затопления, обеспечения самодостаточности учреждений и перехода на возобновляемую энергию;Снижение выбросов CO? за счёт использования солнечной энергии и энергетической ивы;Снижение риска затоплений, улучшение водного баланса, повышение продовольственной самодостаточности;Ньярад, область Дьёр-Мошон-Шопрон (Венгрия);"Среднегодовая температура — около 10 °C. Сезонные средние: зима ? –1 °C, весна ? 11 °C, лето ? 21 °C, осень ? 10 °C. Безморозный период — около 180 дней. Годовое количество осадков — 600–800 мм, максимум в мае–июле. Средняя влажность — 70–75 %. Возможны засухи и периодические ливни. Почвы — аллювиальные, глинистые, местами заболоченные. Высота — около 120 м н.у.м. Климат — умеренно континентальный. Поблизости мелкие реки и озёра; риск подтоплений умеренный.";Муниципалитет Ньярад;https://www.adapterraawards.cz/en/databaze/2019/inland-water-area-revitalization-nyarad;;;;;;;;;;;;;;;;;;
